,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
90,Saint George,0,GR,1566173982,68,39.45,22.34,68.0,4.7
91,Cherskiy,0,RU,1566173984,57,68.75,161.3,63.12,7.61
92,Wanparti,100,IN,1566173985,88,16.36,78.06,75.0,4.74
93,Cacapava do Sul,6,BR,1566173734,88,-30.51,-53.49,47.46,7.87
94,Naze,39,NG,1566173988,95,5.43,7.07,73.38,3.85
95,San Patricio,100,PY,1566173989,73,-26.98,-56.83,57.72,11.41
96,Sao Joao da Barra,0,BR,1566173990,83,-21.64,-41.05,71.6,6.93
97,Saint Anthony,1,US,1566173992,17,43.97,-111.68,87.8,18.34
98,Thinadhoo,66,MV,1566173994,74,0.53,72.93,82.38,14.27
99,Chimoio,75,MZ,1566173796,100,-19.11,33.48,59.0,3.51
100,Ribeira Grande,100,PT,1566173996,87,38.52,-28.7,69.24,15.99
101,Upernavik,0,GL,1566173998,69,72.79,-56.15,41.34,2.73
102,Strelka,0,RU,1566173999,74,58.08,93.03,55.92,2.75
103,La Ronge,75,CA,1566173765,82,55.1,-105.3,55.4,8.05
104,Thompson,75,CA,1566173928,72,55.74,-97.86,59.0,11.41
105,Nanortalik,100,GL,1566174004,95,60.14,-45.24,40.8,0.83
106,Yellowknife,90,CA,1566174005,93,62.45,-114.38,48.2,6.93
107,Norman Wells,40,CA,1566173741,70,65.28,-126.83,42.8,14.99
108,Chubbuck,1,US,1566174008,10,42.93,-112.47,89.6,10.29
109,Sorong,50,ID,1566174010,73,-0.86,131.25,82.02,9.78
110,Ciudad Bolivar,89,VE,1566174011,84,8.12,-63.55,78.78,1.79
111,Loa Janan,29,ID,1566174012,92,-0.58,117.09,76.62,6.06
112,Kruisfontein,57,ZA,1566174014,76,-34.0,24.73,57.72,27.4
113,Coron,0,FR,1566174016,93,47.13,-0.65,57.99,6.93
114,Pathein,100,MM,1566174017,89,16.78,94.73,79.5,6.17
115,Busselton,38,AU,1566174018,72,-33.64,115.35,46.99,11.27
116,Kaeo,24,NZ,1566174020,74,-35.1,173.78,55.99,11.01
117,Hithadhoo,99,MV,1566174022,71,-0.6,73.08,83.46,9.78
118,New Norfolk,75,AU,1566174024,49,-42.78,147.06,46.4,14.99
119,Mayo,75,CA,1566174025,31,63.59,-135.9,50.0,11.41
120,Beloha,27,MG,1566174027,80,-25.17,45.06,60.42,12.73
121,Aklavik,90,CA,1566173884,93,68.22,-135.01,37.4,6.93
122,Kangaba,92,ML,1566174029,96,11.94,-8.41,70.32,0.72
123,Tiksi,75,RU,1566174031,78,71.64,128.87,51.42,2.15
124,Tuktoyaktuk,90,CA,1566174032,86,69.44,-133.03,37.4,8.05
125,Mangrol,58,IN,1566174033,90,25.33,76.51,77.88,5.93
126,Adrar,0,DZ,1566174035,10,27.87,-0.29,91.4,13.87
127,Fortuna,1,US,1566173965,72,40.6,-124.16,66.99,13.87
128,Mar del Plata,0,AR,1566174037,63,-46.43,-67.52,34.68,8.63
129,Praya,40,ID,1566174039,78,-8.71,116.27,75.2,9.17
130,Leeton,75,AU,1566174040,81,-34.55,146.4,46.0,13.87
131,Narsaq,99,GL,1566174041,93,60.91,-46.05,44.6,2.24
132,Dwarka,40,IN,1566173724,94,28.58,77.04,84.0,1.07
133,Faanui,46,PF,1566174044,77,-16.48,-151.75,79.14,16.17
134,Arraial do Cabo,2,BR,1566174045,66,-22.97,-42.02,73.74,7.65
135,Puerto Ayora,40,EC,1566174046,64,-0.74,-90.35,75.2,5.82
136,Meulaboh,98,ID,1566174048,79,4.14,96.13,80.76,7.74
137,Arlit,80,NE,1566174049,14,18.74,7.39,98.22,8.79
138,Paciran,30,ID,1566174050,66,-6.9,112.33,74.64,15.08
139,Vardo,75,US,1566173606,69,39.62,-77.74,87.8,8.05
140,Never,52,RU,1566174053,61,53.98,124.16,56.82,2.17
141,Natal,75,BR,1566174055,88,-5.81,-35.21,75.2,3.36
142,Dingle,89,PH,1566174056,77,11.0,122.67,79.86,0.98
143,Clyde River,1,CA,1566174057,93,70.47,-68.59,44.6,4.7
144,Simbahan,76,PH,1566174059,70,6.3,120.58,82.74,3.94
145,Hermanus,30,ZA,1566174061,82,-34.42,19.24,57.99,5.01
146,Eyl,3,SO,1566174062,69,7.98,49.82,74.82,26.51
147,Castro,0,CL,1566174063,80,-42.48,-73.76,39.2,4.7
148,Dikson,100,RU,1566174065,92,73.51,80.55,40.62,10.38
149,Dombarovskiy,97,RU,1566174065,34,50.76,59.54,73.38,6.4
150,Geraldton,90,CA,1566174068,93,49.72,-86.95,60.8,5.82
151,Rosarito,75,CO,1566174069,47,4.91,-75.23,80.6,3.36
152,Te Anau,79,NZ,1566174071,74,-45.41,167.72,44.22,7.87
153,Anloga,20,GH,1566173993,88,5.79,0.9,77.0,12.75
154,Samarai,23,PG,1566174073,69,-10.62,150.67,76.44,8.32
155,Kloulklubed,90,PW,1566173605,83,7.04,134.26,78.8,14.99
156,Ilheus,75,BR,1566174077,94,-14.79,-39.05,71.6,3.36
157,Caravelas,20,BR,1566174078,76,-17.73,-39.27,71.94,10.98
158,Pangody,67,RU,1566174079,93,65.85,74.49,44.76,15.61
159,Vizinga,100,RU,1566174080,88,61.08,50.08,55.38,6.04
160,Elko,1,US,1566174082,12,40.83,-115.76,93.2,8.05
161,Tucumcari,1,US,1566174083,9,35.17,-103.73,102.2,10.29
162,Boda,55,CF,1566174085,95,4.32,17.47,66.9,1.05
163,Champerico,90,MX,1566174086,94,16.38,-93.6,75.2,6.93
164,Mosquera,40,CO,1566174088,55,4.71,-74.23,60.8,9.17
165,Mahebourg,75,MU,1566174089,94,-20.41,57.7,69.01,9.44
166,Port Hawkesbury,90,CA,1566174090,100,45.62,-61.36,68.0,5.82
167,Santiago del Estero,0,AR,1566174092,46,-27.8,-64.26,58.08,8.59
168,Cockburn Town,93,TC,1566174093,79,21.46,-71.14,83.1,20.8
169,Bambanglipuro,96,ID,1566174094,82,-7.95,110.28,74.1,7.72
170,Jizan,0,SA,1566173870,66,16.89,42.56,89.6,3.36
171,Villa Union,6,BO,1566174097,58,-10.79,-65.46,87.8,2.62
172,Shingu,75,JP,1566174098,74,33.72,135.99,86.0,5.82
173,Half Moon Bay,75,US,1566174100,87,37.46,-122.43,78.8,8.05
174,Victoria Point,0,AU,1566174101,52,-27.58,153.3,73.99,10.29
175,Russell,1,US,1566174102,58,38.9,-98.86,90.0,8.05
176,Marsh Harbour,19,BS,1566173849,74,26.54,-77.06,84.0,15.97
177,Dong Hoi,95,VN,1566174105,67,17.48,106.6,83.1,1.92
178,East London,32,ZA,1566174106,76,-33.02,27.91,57.72,15.01
179,Robertsport,94,LR,1566174108,91,6.75,-11.37,75.54,6.6
180,Fort Smith,1,US,1566173981,62,35.39,-94.42,91.0,4.7
181,Zhangye,97,CN,1566174111,36,38.94,100.46,67.08,26.28
182,Pingliang,36,CN,1566174112,85,35.54,106.68,63.3,7.23
183,Guasdualito,20,VE,1566174114,94,7.24,-70.73,80.6,2.3
184,Jaciara,49,BR,1566174116,36,-15.95,-54.98,78.6,3.71
185,Fuyu,99,CN,1566174117,76,47.79,124.46,59.52,4.09
186,Codrington,0,AU,1566173706,56,-28.95,153.24,75.0,9.62
187,Port Elizabeth,1,US,1566173846,78,39.31,-74.98,84.2,7.47
188,Bintulu,75,MY,1566174121,94,3.17,113.03,75.2,3.36
189,Namibe,37,AO,1566174122,91,-15.19,12.15,63.3,12.59
190,Tabanan,75,ID,1566174123,88,-8.54,115.13,75.2,9.17
191,Havre-Saint-Pierre,20,CA,1566174125,88,50.23,-63.6,62.6,9.17
192,Portland,90,US,1566174028,93,43.66,-70.25,72.0,5.82
193,Nichinan,75,JP,1566174127,94,31.65,131.31,77.0,4.7
194,Buala,32,SB,1566174129,74,-8.15,159.59,83.64,11.14
195,Yenagoa,10,NG,1566174130,92,4.92,6.26,75.18,3.36
196,Leshan,100,CN,1566173883,80,29.56,103.76,75.9,2.21
197,Yumen,90,CN,1566174133,49,40.29,97.04,67.44,8.93
198,Alekseyevsk,67,RU,1566174134,96,57.84,108.35,49.26,2.68
199,Zhuhai,0,CN,1566174135,72,40.71,112.04,60.8,4.47
200,Phalia,2,PK,1566174137,81,32.43,73.58,80.22,2.37
201,Revda,34,RU,1566174138,84,67.94,34.55,49.44,5.28
202,Viedma,53,AR,1566174140,63,-40.81,-62.99,38.64,4.0
203,Lagoa,0,PT,1566174141,73,37.14,-8.45,75.2,8.05
204,Mehran,0,IR,1566174142,37,33.12,46.17,69.8,4.7
205,Amarante,0,PT,1566174144,100,41.27,-8.08,64.0,2.3
206,Poum,20,MK,1566174145,67,41.28,20.71,57.2,2.62
207,Buraydah,20,SA,1566174146,28,26.33,43.97,82.4,5.82
208,Bilma,16,NE,1566174148,18,18.69,12.92,91.02,1.81
209,Kodiak,75,US,1566174149,66,39.95,-94.76,86.0,4.7
210,College,1,US,1566173596,35,64.86,-147.8,59.0,10.29
211,Hasanabad,0,IR,1566174152,20,35.37,51.24,80.6,6.93
212,Baoning,20,CN,1566174154,88,25.34,110.03,78.8,2.24
213,Mayumba,71,GA,1566174155,91,-3.44,10.65,71.94,7.74
214,Molina,100,CL,1566174156,87,-35.11,-71.28,51.8,4.7
215,Minab,0,IR,1566174158,83,27.15,57.07,86.0,4.7
216,Baicheng,77,CN,1566174159,76,45.61,122.87,63.48,6.33
217,Tooele,1,US,1566174160,21,40.53,-112.3,95.0,12.75
218,Cabo San Lucas,5,MX,1566173863,49,22.89,-109.91,91.4,11.41
219,Victoria,75,BN,1566174157,88,5.28,115.24,77.0,7.7
220,Asasa,34,ET,1566174164,95,7.1,39.2,49.8,4.29
221,Ust-Kuyga,100,RU,1566174165,54,70.0,135.55,66.54,1.59
222,Gualeguay,15,AR,1566174167,76,-33.15,-59.31,44.4,7.02
223,Diebougou,82,BF,1566174168,90,10.97,-3.25,73.74,3.89
224,Hami,100,CN,1566174169,39,42.84,93.51,68.7,19.8
225,Bongandanga,51,CD,1566174171,95,1.51,21.07,70.14,1.36
226,Ekhabi,100,RU,1566174172,87,53.51,142.97,55.92,9.55
227,Husavik,2,CA,1566174173,25,50.56,-96.99,72.0,7.0
228,Abu Samrah,0,SY,1566174175,85,35.3,37.18,67.44,6.02
229,Torrington,1,US,1566174176,40,42.06,-104.18,87.8,11.41
230,Jutai,37,BR,1566174178,92,-1.71,-47.89,73.38,3.42
231,Carbonia,0,IT,1566174179,83,39.17,8.53,75.99,3.36
232,Antalaha,11,MG,1566174180,97,-14.9,50.28,59.34,4.5
233,Uthal,14,PK,1566174181,77,25.81,66.62,80.22,5.53
234,Bridgewater,100,CA,1566174183,97,44.38,-64.52,69.01,3.94
235,Lebu,40,ET,1566174184,93,8.96,38.73,55.4,2.24
236,Lanzhou,36,CN,1566174185,100,36.06,103.82,59.0,4.47
237,Grindavik,0,IS,1566174187,81,63.84,-22.43,46.4,16.11
238,Marsa Matruh,0,EG,1566174188,65,31.35,27.25,78.8,6.93
239,Matara,0,BI,1566174190,74,-3.48,29.48,52.32,1.61
240,Marzuq,24,YE,1566174191,50,14.4,46.47,80.4,1.72
241,Alofi,49,NU,1566174192,94,-19.06,-169.92,73.4,5.82
242,Lagoa Formosa,92,BR,1566174194,67,-18.77,-46.41,64.0,2.95
243,Cidreira,38,BR,1566174195,70,-30.17,-50.22,51.42,15.59
244,Fare,0,PF,1566174177,78,-16.7,-151.02,78.78,16.84
245,Kalmunai,86,LK,1566174197,88,7.42,81.82,75.36,1.7
246,Esperance,90,AU,1566174199,93,-33.86,121.89,46.4,8.05
247,Jacareacanga,19,BR,1566174200,44,-6.22,-57.76,81.12,1.41
248,Colac,62,AU,1566174201,96,-38.34,143.59,48.99,1.99
249,Tadine,40,NC,1566174203,57,-21.55,167.88,69.78,8.5
250,Lompoc,1,US,1566174204,64,34.64,-120.46,75.99,12.75
251,Alyangula,0,AU,1566173674,100,-13.85,136.42,73.4,5.82
252,Ban Nahin,94,LA,1566174207,97,18.24,104.21,74.28,1.52
253,Mortka,94,RU,1566174209,77,59.33,66.02,50.7,4.18
254,Provideniya,0,RU,1566174210,66,64.42,-173.23,53.6,13.42
255,Mantua,0,IT,1566174212,83,45.16,10.79,78.8,3.36
256,Ucluelet,75,CA,1566174213,93,48.94,-125.55,71.01,4.7
257,Hovd,0,NO,1566174173,71,63.83,10.7,61.0,13.87
258,Nelson Bay,0,AU,1566174215,30,-32.72,152.14,62.01,25.28
259,Bukachacha,48,RU,1566174217,52,52.99,116.91,61.32,2.35
260,Pangnirtung,78,CA,1566174218,71,66.15,-65.72,42.78,2.17
261,Zhigansk,100,RU,1566174219,72,66.77,123.37,56.64,9.13
262,Port Hardy,75,CA,1566173681,72,50.7,-127.42,66.2,11.41
263,Skeldon,73,GY,1566174222,91,5.88,-57.13,74.1,2.93
264,Kununurra,0,AU,1566174223,16,-15.77,128.74,78.8,16.11
265,Sibu,75,MY,1566174225,88,2.29,111.83,77.0,3.36
266,Santa Maria,0,BR,1566174226,40,-16.02,-48.01,73.4,2.24
267,Qaqortoq,99,GL,1566173340,87,60.72,-46.03,46.4,4.7
268,The Valley,20,AI,1566174199,74,18.22,-63.06,84.2,11.41
269,Luderitz,0,NA,1566174230,87,-26.65,15.16,55.4,4.7
270,Tshikapa,0,CD,1566174231,31,-6.42,20.79,74.82,1.05
271,Moville,20,US,1566174233,64,42.49,-96.07,77.0,6.93
272,Ahipara,0,NZ,1566174234,67,-35.17,173.16,56.1,15.86
273,Scarborough,23,GB,1566174235,82,54.28,-0.41,57.2,12.75
274,Shubarshi,79,KZ,1566174237,27,48.59,57.19,75.18,5.77
275,Azuaga,0,ES,1566174238,66,38.26,-5.68,73.0,8.99
276,Leningradskiy,100,RU,1566174239,97,69.38,178.42,44.4,3.98
277,Zamora,0,ES,1566174241,60,41.51,-5.74,68.0,5.82
278,Torbat-e Jam,0,IR,1566174242,26,35.24,60.63,59.16,8.88
279,Severodvinsk,0,RU,1566174243,100,64.56,39.82,50.0,4.47
280,Salgotarjan,12,HU,1566174245,66,48.1,19.8,72.0,1.01
281,Anqing,7,CN,1566174246,78,30.51,117.04,79.86,7.34
282,Bambous Virieux,75,MU,1566174248,94,-20.34,57.76,69.01,9.44
283,Boyolangu,25,ID,1566174249,82,-8.09,111.9,68.88,6.42
284,Oksfjord,86,NO,1566174250,77,70.24,22.35,60.8,16.11
285,Guadix,0,ES,1566174252,44,37.3,-3.14,77.0,3.06
286,San Carlos de Bariloche,75,AR,1566174253,74,-41.13,-71.31,33.8,5.82
287,Kurchum,15,KZ,1566174254,63,48.57,83.65,59.16,7.4
288,Alta Floresta,41,BR,1566173717,41,-9.87,-56.08,81.12,3.67
289,Palatka,44,RU,1566174257,46,60.1,150.94,62.4,1.36
290,Walvis Bay,0,NA,1566174258,93,-22.95,14.51,57.2,6.93
291,Shenzhen,75,CN,1566174260,88,22.54,114.05,82.99,4.47
292,Gumdag,0,TM,1566174261,16,39.2,54.59,79.5,19.13
293,Touros,75,BR,1566174149,94,-5.2,-35.46,75.2,5.82
294,Warrington,0,GB,1566174264,87,53.39,-2.59,59.0,11.41
295,Lata,21,IN,1566174265,85,30.78,78.62,37.38,2.84
296,Nambucca Heads,0,AU,1566174267,56,-30.64,152.99,71.01,10.29
297,Mount Gambier,33,AU,1566174268,81,-37.83,140.78,46.4,20.8
298,Taoudenni,86,ML,1566174197,13,22.68,-3.98,102.18,9.13
299,Antofagasta,90,CL,1566174270,76,-23.65,-70.4,55.4,10.29
300,Kaitangata,96,NZ,1566174273,42,-46.28,169.85,51.01,1.99
301,Kauhajoki,0,FI,1566174274,82,62.43,22.18,61.0,11.41
302,Damghan,0,IR,1566174275,49,36.17,54.34,56.64,2.17
303,Canutama,39,BR,1566174277,74,-6.53,-64.38,76.8,2.73
304,Bandarbeyla,0,SO,1566174278,73,9.49,50.81,74.46,23.96
305,Davila,75,PH,1566174124,88,18.47,120.58,82.4,5.82
306,Sabha,0,LY,1566174281,28,27.03,14.43,77.7,10.04
307,Yanam,97,IN,1566174282,86,16.73,82.22,79.14,2.37
308,Batsfjord,92,NO,1566174284,84,70.63,29.72,54.66,19.48
309,Aykhal,0,RU,1566174285,44,65.95,111.51,57.2,2.24
310,Inverness,78,GB,1566174287,93,57.48,-4.23,55.4,13.87
311,Mabaruma,47,GY,1566174288,97,8.2,-59.78,73.2,1.79
312,Faya,0,SA,1566174289,59,18.39,42.45,68.0,3.87
313,Konevo,0,BG,1566174291,73,41.67,25.61,66.99,4.05
314,Canmore,1,CA,1566174292,33,51.09,-115.35,75.99,8.05
315,Barcelona,20,ES,1566174191,83,41.38,2.18,81.0,4.7
316,Karasjok,100,NO,1566174295,82,69.47,25.52,60.8,26.4
317,Plettenberg Bay,77,ZA,1566174296,75,-34.05,23.37,57.18,10.98
318,Isla Vista,40,US,1566174298,64,34.41,-119.86,82.0,13.87
319,Usinsk,34,RU,1566173719,87,66.0,57.56,45.66,4.32
320,Srednekolymsk,37,RU,1566174300,36,67.46,153.71,69.6,4.63
321,Daru,15,PG,1566173710,68,-9.07,143.21,78.78,10.56
322,Kalabo,0,ZM,1566174303,23,-15.0,22.67,58.8,8.28
323,Luanda,13,AO,1566174239,100,-8.83,13.24,68.0,6.93
324,Khorixas,0,NA,1566174306,29,-20.37,14.96,66.54,11.48
325,Sechura,35,PE,1566174307,89,-5.56,-80.82,62.22,13.22
326,Saurimo,0,AO,1566174309,34,-9.66,20.4,65.64,4.07
327,Moose Factory,20,CA,1566174310,54,51.26,-80.61,80.6,10.29
328,Juegang,0,CN,1566174313,73,32.31,121.18,78.96,11.95
329,Broome,2,GB,1566174314,76,52.47,1.45,59.0,12.75
330,Lingao,100,CN,1566174316,73,19.91,109.69,84.9,17.2
331,Olga,1,US,1566174317,64,34.11,-118.17,86.0,5.82
332,Chitungwiza,0,ZW,1566174318,87,-18.01,31.07,48.2,4.7
333,Along,91,IN,1566174320,97,28.17,94.8,60.6,2.13
334,Balabac,56,PH,1566174321,71,7.99,117.06,83.82,6.73
335,Sinnamary,0,GF,1566174322,76,5.38,-52.96,81.12,8.99
336,Camacha,40,PT,1566174324,78,33.08,-16.33,71.6,6.93
337,Sun Valley,1,US,1566174325,15,39.6,-119.78,96.01,14.99
338,Iwanai,75,JP,1566174327,65,42.97,140.51,76.98,1.9
339,Nouadhibou,3,MR,1566174328,88,20.93,-17.03,73.4,5.82
340,Barranca,95,PE,1566174329,86,-10.75,-77.76,59.52,10.27
341,Harsin,0,IR,1566174331,32,34.27,47.59,68.0,4.7
342,Chuy,27,UY,1566174222,70,-33.69,-53.46,44.94,17.22
343,Port Macquarie,0,AU,1566174227,20,-31.43,152.91,71.01,13.87
344,Tongren,13,CN,1566174335,88,27.72,109.18,75.9,2.57
345,Gainesville,75,US,1566174337,94,29.65,-82.33,75.99,3.36
346,Mirnyy,7,RU,1566174338,97,56.57,36.46,53.22,2.24
347,Fuerte Olimpo,0,BR,1566174339,42,-21.04,-57.87,78.96,7.07
348,Karoi,0,ZW,1566174341,64,-16.82,29.68,56.1,12.82
349,Taltal,0,CL,1566174342,82,-25.41,-70.49,51.06,2.44
350,Digha,85,IN,1566174343,83,21.62,87.51,81.3,15.43
351,Ostrovnoy,32,RU,1566174345,70,68.05,39.51,54.66,16.49
352,Lakatoro,55,VU,1566174346,64,-16.11,167.42,76.08,1.28
353,Shache,99,CN,1566174347,27,38.42,77.24,73.2,4.03
354,Carlyle,90,CA,1566174349,38,49.63,-102.27,73.4,9.17
355,Bubaque,100,GW,1566174350,84,11.28,-15.83,78.78,17.63
356,Chokurdakh,99,RU,1566174351,36,70.62,147.9,63.3,7.52
357,Valpacos,17,PT,1566174353,77,41.61,-7.31,54.0,3.0
358,Constitucion,90,MX,1566174354,44,23.99,-104.67,75.2,14.99
359,Padang,37,ID,1566174355,82,-0.92,100.36,81.12,14.79
360,Tasiilaq,77,GL,1566174357,70,65.61,-37.64,46.4,2.39
361,Laguna,75,BZ,1566174174,70,16.17,-88.94,84.2,5.06
362,Hrebinka,0,UA,1566174359,74,50.12,32.43,58.62,3.31
363,Vao,88,EE,1566174361,61,59.1,26.19,61.86,10.27
364,Pemba,20,MZ,1566174362,82,-12.97,40.52,68.0,10.29
365,Henties Bay,0,NA,1566174363,96,-22.12,14.28,55.0,5.01
366,Zaragoza,75,SV,1566174365,83,13.59,-89.29,80.6,3.36
367,Mineiros,9,BR,1566174366,43,-17.57,-52.55,72.84,3.74
368,Terney,80,RU,1566174368,78,45.05,136.61,60.96,3.62
369,Omsukchan,0,RU,1566174370,42,62.53,155.8,62.04,3.38
370,Blythe,75,US,1566174136,6,33.61,-114.59,108.0,9.17
371,Pandan,52,PH,1566174372,80,11.72,122.09,83.1,14.34
372,Margate,75,AU,1566174374,60,-43.03,147.26,45.0,16.11
373,Jackville,40,CI,1566174375,94,5.21,-4.42,75.2,8.05
374,Khiri Mat,20,TH,1566174377,88,16.83,99.8,78.8,2.24
375,Homer,20,US,1566174295,34,59.64,-151.54,66.2,16.11
376,Trofors,16,NO,1566174380,93,65.54,13.39,53.6,4.7
